"fet","slope"
"26","buss_service_rt + clean_rt",0.25505239498721
"15","location_rt + service_rt",0.26008275679004
"17","location_rt + clean_rt",0.287814736297403
"19","frontdesk_rt + service_rt",0.303931839411282
"18","location_rt + sleep_rt",0.313481387248098
"14","location_rt + frontdesk_rt",0.344863789948225
"21","frontdesk_rt + clean_rt",0.397620761041634
"16","location_rt + buss_service_rt",0.451813218071587
"1","rooms_rt + value_rt",0.462975679583016
"10","value_rt + service_rt",0.478172461902044
"4","rooms_rt + service_rt",0.489104376501933
"28","clean_rt + sleep_rt",0.497369576886324
"13","value_rt + sleep_rt",0.503698378311525
"24","service_rt + clean_rt",0.504087018932825
"6","rooms_rt + clean_rt",0.524933694603395
"25","service_rt + sleep_rt",0.526473008271154
"12","value_rt + clean_rt",0.530330998655137
"7","rooms_rt + sleep_rt",0.548399510350305
"20","frontdesk_rt + buss_service_rt",0.564489113257826
"3","rooms_rt + frontdesk_rt",0.592761907860835
"23","service_rt + buss_service_rt",0.653970139537232
"5","rooms_rt + buss_service_rt",0.667175536274827
"2","rooms_rt + location_rt",0.701998821449458
"8","value_rt + location_rt",0.705205110328535
"9","value_rt + frontdesk_rt",0.720601062247958
"11","value_rt + buss_service_rt",0.784352872117037
"22","frontdesk_rt + sleep_rt",NA
"27","buss_service_rt + sleep_rt",NA
